id,image_id,top_left_x,top_left_y,top_right_x,top_right_y,bottom_right_x,bottom_right_y,bottom_left_x,bottom_left_y
,26,630.95,1163.39,1897.52,806.21,2597.47,1852.54,1074.65,2448.82
,27,1786.44,2346.86,446.38,1648.06,1298.38,792.21,2480.26,1240.91
,28,928.95,1221.14,1989.58,937.39,2655.85,1638.46,1385.35,2095.88
,29,2593.04,1632.51,1312.11,2549.95,336.73,1521.47,1544.32,918.28
,30,2190.33,807.65,2903.04,2026.88,1122.77,2491.83,746.04,1058.42
,31,2247.02,1015.86,2472.35,2537.69,578.02,2577.38,714.92,1033.83
,32,630.1,1613.27,660.25,874.23,2063.71,776.05,2623.6,1445.8
,33,933.47,1950.9,461.45,1013.78,1807.45,681.11,2563.99,1459.9
,34,1578.1,2070.4,410.07,1406.46,1315.25,692.46,2404.61,1133.31
,35,2373.11,1894.67,613.68,2235.05,530.32,1098.54,1880.66,906.3
,36,2466.74,1313.9,1835.9,2376.02,390.99,1744.09,1246.18,955.16
,37,2251.34,1045.53,2451.27,2342.38,386.4,2299.24,748.91,1039.48
,38,1557.24,742.19,2732.61,1427.54,1630.73,2444.54,442.01,1484.92
,39,342.02,1063.08,1956.2,718.07,2829.26,1828.85,796.13,2458.3
,40,309.76,1540.55,1511.24,845.01,2787.26,1470.47,1647.64,2521.39
,41,601.86,1590.92,810.7,651.05,2260.72,589.86,2510.97,1532.26
,42,829.67,1867.35,334.5,829.36,1710.15,444.84,2487.29,1295.65
,43,1517.6,2363.6,341.83,1465.83,1488.85,715.17,2671.88,1364.69
,44,2166.16,2209.32,374.92,1896.03,986.26,838.22,2410.92,1015.92
,45,2335.56,1496.49,1170.4,2251.7,374.56,1377.29,1458.16,857.19
,46,2034.77,737.89,2798.48,1985.99,813.22,2531.27,464.0,1066.41
,47,959.29,1005.52,2328.32,1048.45,2373.07,2131.52,610.79,2049.33
,48,289.46,1545.8,1487.53,809.92,2741.17,1445.56,1573.35,2546.67
,49,586.05,1683.33,1129.85,992.1,2292.73,1109.62,2020.19,1919.61
,50,329.7,2170.1,875.34,1017.56,2541.74,1082.06,2520.56,2354.9
,51,961.81,2114.33,410.72,1246.12,1667.06,876.89,2449.68,1570.86
,52,2614.82,1623.04,1389.98,2579.79,377.18,1547.29,1556.89,886.31
,53,1992.48,957.6,2541.7,1991.31,908.73,2352.8,656.22,1195.84
,54,908.62,1253.41,1900.19,1109.62,2321.46,1793.38,1057.25,2052.76
,55,1276.66,869.56,2519.31,1247.7,1966.7,2353.53,531.46,1790.65
,56,505.69,1414.32,1648.9,940.56,2592.53,1568.08,1340.2,2293.22
,57,1912.74,2478.04,317.97,1675.5,1285.73,645.58,2685.8,1149.25
,58,1648.17,688.73,2616.46,1561.01,1182.96,2383.12,373.43,1229.1
,59,547.45,1319.1,1781.16,965.74,2552.27,1740.92,1078.79,2327.43
,60,958.05,2144.92,594.21,1212.74,1832.17,910.78,2495.67,1684.72
,61,2539.61,1554.65,1400.64,2420.51,463.21,1534.86,1538.42,952.16
,62,275.97,1029.86,1854.53,525.7,2785.77,1713.4,861.51,2539.78
,63,1641.31,681.33,2729.32,1561.42,1263.26,2523.57,318.72,1311.12
,64,614.21,1819.01,903.35,1073.82,2177.31,1035.5,2476.26,1780.79
,65,1191.62,2026.12,428.07,1286.78,1556.74,834.76,2423.57,1415.96
,66,1626.63,847.85,2807.7,1625.5,1332.58,2555.96,257.55,1487.64
,67,1288.51,2379.13,389.55,1289.22,1724.19,735.69,2785.41,1545.83
,68,334.79,1376.78,1602.53,823.26,2702.99,1491.54,1335.26,2355.2
,69,1682.17,2319.24,433.9,1618.86,1394.56,880.15,2559.34,1359.5
,70,1291.86,812.2,2540.78,1268.41,1831.07,2344.96,419.51,1680.02
,71,525.87,1679.04,800.7,744.72,2283.38,704.82,2495.15,1656.91
,72,1413.32,2560.1,282.14,1310.63,1625.82,577.52,2838.03,1456.66
,73,1973.58,2418.55,371.61,1750.17,1226.39,729.2,2590.86,1150.02
,74,1367.09,761.72,2484.2,1294.97,1595.71,2242.99,402.29,1472.86
,75,1303.57,610.75,2697.42,1027.51,1976.86,2135.62,315.97,1441.23
,76,1025.68,2024.26,621.71,1199.84,1736.67,917.9,2353.68,1602.95
,77,2699.25,1396.97,1667.5,2625.52,260.3,1636.59,1392.47,782.32
,78,337.29,1225.92,1742.76,600.55,2765.07,1647.71,1170.17,2597.68
,79,282.11,1859.08,1110.51,784.12,2597.98,1035.28,2158.6,2379.24
,80,2702.99,1398.36,1636.69,2413.62,388.96,1481.79,1513.54,801.18
,81,1007.42,924.39,2373.26,1095.8,2183.22,2245.48,446.94,1951.02
,82,1886.98,2609.34,288.48,1757.71,1288.51,730.4,2691.73,1267.35
,83,532.77,2190.42,660.29,961.79,2161.42,847.58,2531.98,2033.4
,84,1045.5,2223.32,673.86,1237.18,1872.18,944.49,2503.32,1779.54
,85,308.43,1239.1,1869.16,899.77,2951.91,1677.04,925.47,2382.95
,86,928.77,2351.75,488.08,1316.35,1852.73,1002.48,2669.99,1816.19
,87,2433.4,2352.65,462.72,2340.8,734.92,979.88,2266.54,971.92
,88,1396.7,2475.75,285.61,1427.2,1610.17,729.78,2815.99,1479.85
,89,2729.55,1729.45,1033.22,2506.6,337.67,1309.08,1783.86,816.13
,90,1342.6,693.11,2768.25,1265.41,1870.44,2512.16,280.81,1654.34
,91,459.67,2110.54,737.47,1002.12,2262.54,933.72,2553.42,2045.0
,92,255.87,1573.17,1552.33,1022.01,2813.48,1569.2,1494.86,2503.66
,93,2107.89,2422.01,314.08,1859.92,1111.17,733.86,2586.51,1062.42
,94,1447.8,852.3,2528.47,1472.52,1571.45,2427.25,450.13,1567.11
,95,2669.53,1337.16,1836.0,2462.62,376.38,1715.29,1371.1,903.2
,96,1512.55,820.02,2639.53,1446.95,1597.64,2415.52,447.79,1520.19
,97,366.29,2276.88,652.22,838.42,2350.09,790.9,2710.84,2221.5
,98,1408.91,2307.62,475.75,1449.78,1714.23,870.22,2747.16,1547.5
,99,524.14,1293.8,1713.82,841.08,2662.03,1543.24,1261.62,2349.34
,100,1749.72,732.16,2801.93,1625.79,1219.87,2466.55,356.22,1290.25
,101,296.49,2070.28,918.46,992.35,2481.86,1108.02,2332.03,2337.75
,102,1121.45,919.89,2504.81,1152.79,2132.73,2262.73,446.59,1877.33
,792,639.34,1090.96,1843.65,829.12,2522.89,1655.14,998.09,2147.71
,793,1651.95,806.36,2573.42,1453.29,1342.99,2163.75,547.47,1265.25
,794,2711.51,1655.41,970.14,2240.06,423.07,1097.25,1861.93,758.46
,795,449.06,2013.45,706.17,838.27,2253.32,790.88,2571.22,1955.89
,796,461.46,2055.73,726.16,815.36,2316.98,765.88,2619.71,2010.5
,797,2547.81,1396.14,1475.96,2322.27,476.82,1389.88,1529.6,787.25
,798,334.19,1644.01,1308.92,888.96,2673.05,1252.78,1925.07,2255.79
,799,544.72,683.52,2439.17,604.65,2792.52,2319.12,430.26,2455.2
,800,1188.33,2065.21,454.56,1157.99,1816.16,739.7,2753.13,1471.08
,801,693.66,1243.7,2006.88,1108.01,2611.87,1772.03,875.9,2045.7
,802,1339.79,985.5,2669.73,1345.56,1889.46,2302.36,321.11,1671.79
,803,1796.16,789.62,2744.9,1505.81,1104.07,2094.68,438.09,1135.9
,804,413.72,1408.86,1327.9,726.76,2662.06,981.15,2095.93,1939.24
,805,2472.65,694.26,2747.18,2236.13,439.69,2270.45,654.94,730.21
,806,1219.28,785.17,2646.9,1026.67,2282.13,2164.17,308.61,1613.68
,807,2603.56,1401.41,1351.51,2196.44,511.83,1236.31,1644.31,740.6
,808,2310.75,713.44,2593.71,1859.06,561.28,1870.37,811.33,732.56
,809,1484.74,822.85,2484.49,1365.28,1502.38,2258.05,497.79,1416.46
,810,677.42,1241.53,1769.99,936.38,2464.97,1644.07,1132.96,2177.91
,811,300.87,1553.07,1376.69,772.86,2760.26,1220.84,1875.63,2310.8
,812,370.06,2036.5,682.51,833.13,2322.91,802.32,2581.26,2019.96
,813,1664.45,2212.88,339.11,1323.83,1517.61,582.97,2803.26,1182.2
,814,2831.81,1418.23,1525.65,2501.09,305.69,1374.78,1595.88,687.38
,815,2298.54,656.89,2634.06,1800.95,491.77,1838.91,731.61,684.71
,816,1063.99,1033.25,2271.74,1234.32,1976.55,2208.65,490.92,1889.29
,817,588.98,1161.63,1989.83,992.88,2662.53,1763.95,799.04,2107.67
,818,1412.27,903.53,2474.23,1251.46,1717.18,2037.66,512.98,1435.48
,819,876.72,606.76,2621.29,839.62,2429.13,2541.93,303.74,2167.17
,820,323.95,1813.72,1033.21,762.88,2517.29,940.92,2333.42,2215.11
,821,1770.92,630.5,2642.89,1487.41,1068.23,2180.06,469.6,1051.49
,822,398.16,1249.31,1892.28,797.02,2747.59,1849.85,968.8,2552.76
,823,346.4,1359.25,1295.01,639.7,2728.95,826.17,2295.77,1862.31
,824,2704.28,1349.97,1527.12,2443.9,393.81,1310.58,1571.24,546.13
,825,1754.75,546.22,2836.16,1448.75,1201.55,2367.57,356.71,1101.84
,826,823.94,1101.03,2197.0,1082.26,2484.96,2014.06,565.21,2064.17
,827,1532.06,2159.62,509.58,1359.07,1541.9,782.0,2575.07,1323.3
,828,2215.91,794.15,2510.66,1974.11,515.22,2022.57,747.56,830.67
,829,1233.35,962.86,2226.17,1408.92,1470.67,2290.01,387.91,1634.78
,830,378.71,2213.56,695.0,892.92,2265.19,844.63,2572.03,2166.87
,831,1367.27,801.46,2580.63,1174.98,1757.74,2076.04,334.72,1385.5
,832,1041.03,673.54,2476.98,998.01,2138.12,2522.82,473.87,2031.39
,833,430.56,1516.67,1526.6,1130.29,2415.11,1591.6,1225.0,2184.81
,834,1910.1,2570.96,244.04,1712.67,1315.33,701.63,2780.23,1238.32
,835,2386.71,785.06,2742.7,2059.59,403.24,2084.64,687.4,807.76
,836,2750.42,1586.59,1250.74,2457.99,352.4,1282.77,1691.53,761.61
,837,786.83,984.99,2206.29,958.23,2459.98,1934.45,536.62,1986.17
,838,1720.49,768.4,2506.43,1729.99,1200.53,2458.25,538.24,1236.0
,839,378.29,1038.38,1899.24,775.81,2936.72,1478.81,702.21,2122.84
,840,2741.64,1573.24,1337.69,2662.29,366.38,1262.15,1687.85,488.34
,841,1362.56,714.89,2593.93,1170.94,1774.64,2274.7,354.04,1471.12
,842,1773.92,2340.85,393.35,1418.36,1410.99,552.75,2659.79,1130.14
,843,2646.78,1433.64,1371.05,2304.65,401.0,1339.1,1581.55,854.93
,844,538.33,1179.71,1912.95,843.21,2644.95,1828.88,1014.08,2375.97
,845,1518.67,1003.44,2488.19,1461.97,1343.68,2107.49,455.98,1408.03
,846,306.38,1499.36,1276.09,839.81,2704.18,1036.22,2348.69,2026.07
,847,1851.86,646.69,2685.54,1661.36,855.78,2276.7,397.92,999.34
,848,1653.63,2527.35,368.95,1567.46,1471.42,759.43,2702.81,1380.37
,849,508.33,1489.37,1647.74,1136.79,2459.43,1726.62,1127.1,2328.79
,850,2447.55,1047.14,2201.74,2102.68,537.63,1678.54,1151.0,795.52
,851,1380.82,506.83,2717.11,951.75,1890.76,2005.68,344.96,1264.4
,852,2468.66,1587.2,1022.56,2134.77,510.74,1227.68,1708.56,909.88
,853,1704.78,2216.08,423.9,1523.41,1378.18,856.48,2532.56,1294.35
,854,2254.91,886.71,2530.41,2044.51,523.05,2096.12,788.61,940.57
,855,380.52,1240.48,1698.12,709.65,2742.91,1535.24,1254.72,2420.88
,856,1565.85,752.17,2696.84,1378.26,1614.14,2349.45,474.34,1420.4
,857,589.59,1801.1,849.78,749.45,2248.8,750.44,2455.48,1821.78
,858,2480.21,1986.69,411.1,2028.17,700.9,839.24,2212.2,821.47
,859,1079.76,2137.45,489.54,1149.39,1762.71,774.74,2627.28,1522.86
,860,644.21,701.67,2352.96,667.5,2707.71,1808.08,450.93,1890.98
,861,2175.31,2554.08,328.12,1919.65,1082.65,574.78,2635.5,991.09
,862,2482.58,1255.87,1778.86,2163.65,448.58,1612.26,1323.77,946.36
,863,1698.83,2432.08,290.4,1618.5,1437.79,975.02,2725.34,1450.76
,864,2698.13,1786.88,1075.45,2228.85,666.23,1318.5,1941.28,1089.28
,865,500.32,1408.77,1622.99,961.88,2617.35,1545.62,1425.4,2280.04
,866,2378.2,677.37,2598.61,2259.27,516.21,2298.72,697.8,719.97
,867,1489.0,722.17,2851.0,1276.34,1847.9,2392.6,359.35,1515.64
,868,1974.82,2329.84,475.02,1898.08,1143.21,970.94,2407.21,1241.15
,869,2721.11,1040.75,2102.2,1906.88,327.12,1417.13,1295.95,794.12
,870,1158.2,411.54,2595.0,790.94,2141.17,2170.79,342.46,1524.52
,871,1567.92,1983.4,547.02,1383.44,1393.56,854.42,2344.17,1238.83
,872,2674.26,1070.11,2084.24,2210.42,280.96,1665.13,1197.6,778.28
,873,1326.76,2757.92,262.35,1472.46,1593.89,686.58,2754.44,1643.75
,874,2067.98,661.22,2867.24,1580.11,722.03,1951.28,549.69,833.1
,875,2581.62,1743.62,668.95,1913.8,737.59,1067.46,2081.59,1002.22
,876,1158.64,671.36,2559.02,960.33,2217.95,2196.53,426.9,1696.32
,877,1416.42,2141.3,547.39,1339.17,1560.86,845.13,2484.19,1410.1
,878,2716.45,1952.72,811.68,2491.01,447.66,1094.49,2013.24,756.43
,879,1926.45,802.56,2681.74,1719.07,777.05,2165.9,377.31,1091.66
,880,418.83,1711.78,733.65,612.07,2334.2,589.9,2661.94,1694.1
,881,2666.28,1540.88,904.27,1961.49,623.02,892.21,1953.84,698.95
,882,1719.53,2149.11,458.81,1430.03,1394.11,722.05,2529.23,1157.32
,883,2333.95,702.96,2608.14,2155.68,399.32,2184.3,682.25,738.31
,884,1933.86,1958.12,537.11,1580.39,1183.05,857.9,2338.53,1102.23
,885,1321.75,706.07,2553.99,1171.44,1735.87,2225.94,359.29,1503.27
,886,467.19,1059.69,1958.59,680.46,2782.04,1867.61,998.12,2528.19
,887,2772.08,955.52,2291.85,1995.99,320.7,1483.93,1271.27,726.57
,888,2671.26,1622.18,1142.34,2218.91,510.46,1191.93,1829.73,817.65
,889,500.88,1381.78,1612.2,870.54,2629.18,1453.19,1478.17,2195.11
,890,360.27,1762.49,966.53,865.82,2418.55,1061.15,2211.95,2097.63
,891,2721.2,1739.34,746.98,2059.15,528.83,1133.11,2039.99,975.36
,892,1548.64,2469.39,406.7,1500.36,1450.95,626.28,2627.23,1244.34
,893,516.26,1119.47,1826.71,829.49,2546.87,1627.64,942.74,2118.53
,894,2742.8,1085.1,2097.92,2259.54,332.8,1624.8,1290.35,745.3
,895,2668.42,1917.78,685.3,2395.72,415.4,978.41,2013.88,690.33
,896,2319.04,517.54,2732.61,1747.02,470.04,1865.41,677.52,599.77
,897,1112.59,2248.54,354.04,1289.46,1631.1,821.65,2552.64,1566.92
,898,1724.55,742.15,2737.06,1493.3,1176.06,2245.78,363.62,1249.16
,899,1098.32,2255.26,282.96,1138.95,1763.59,677.67,2823.86,1521.59
,900,1811.3,2160.85,443.57,1567.21,1378.28,997.66,2558.28,1352.29
,901,2481.09,1522.26,1585.92,2198.55,556.93,1631.03,1493.1,1185.8
,902,2656.91,2265.03,345.1,2290.48,580.26,531.53,2420.97,511.45
,903,2661.12,1193.59,1544.23,1994.61,442.43,1254.53,1551.24,724.92
,904,448.05,1458.12,1581.51,811.71,2795.31,1388.1,1707.25,2370.04
,905,2765.1,1020.41,2388.31,2146.69,365.19,1640.21,1232.98,777.54
,906,485.37,1174.07,1777.89,730.85,2665.91,1584.6,1174.12,2293.53
,907,294.02,1080.71,1786.23,500.25,2752.23,1620.96,1035.86,2489.49
,908,2493.9,754.34,2473.34,1855.7,508.64,1721.02,990.14,716.3
,909,359.32,1717.78,1067.26,719.77,2563.97,946.81,2256.71,2137.57
,910,954.15,2229.35,569.47,1223.72,1858.07,937.66,2515.86,1790.18
,911,2026.12,807.7,2612.72,1866.2,583.26,2208.31,479.05,1020.31
,3904,2640.91,1268.32,1652.59,2308.29,336.54,1420.89,1424.59,719.97
,3905,2429.44,1109.15,2278.16,2128.9,425.13,1859.74,999.23,966.67
,3906,1595.16,792.0,2662.46,1346.49,1560.81,2062.79,510.24,1294.25
,3907,379.98,1112.91,1561.09,688.38,2571.59,1341.27,1353.54,2005.18
,3908,1052.65,1946.64,511.91,1028.83,1806.33,733.05,2588.46,1480.86
,3909,2293.47,1836.26,498.49,1765.66,964.44,1066.33,2331.23,1101.2
,3910,2628.43,1322.85,1647.73,2156.11,323.6,1431.62,1408.48,858.8
,3911,2556.94,1171.55,2210.82,2063.78,559.78,1709.0,1227.28,972.3
,3912,1740.18,946.87,2581.25,1693.34,1112.22,2236.06,475.11,1293.55
,3913,758.36,874.66,2267.61,1012.04,2318.06,2130.76,342.36,1947.8
,3914,345.49,1662.69,1040.56,622.61,2545.86,898.0,2226.56,2120.2
,3915,2664.15,1522.93,1093.53,2114.91,383.0,1153.84,1726.6,801.68
,3916,2306.87,864.88,2591.69,1980.81,487.0,1992.5,731.2,885.15
,3917,1741.17,1996.51,437.71,1324.13,1436.68,767.49,2631.5,1227.3
,3918,2653.5,2091.96,376.9,2038.68,677.77,747.27,2377.52,795.92
,3919,280.66,1717.97,940.63,781.75,2403.36,1037.53,2150.92,2135.52
,3920,650.29,714.12,2276.04,730.56,2584.39,1943.29,446.24,1952.78
,3921,1619.45,892.17,2689.55,1487.96,1506.9,2169.5,480.95,1347.49
,3922,2573.95,1722.32,806.8,2094.19,468.42,1157.15,1869.99,955.15
,3923,2707.39,1889.32,831.24,2499.64,335.29,870.85,1928.97,539.72
,3924,1166.89,2100.34,553.29,1112.98,1845.39,801.41,2747.67,1565.58
,3925,273.21,1930.41,911.01,1066.71,2310.58,1224.81,2189.22,2238.51
,3926,1985.65,731.43,2709.36,1803.62,786.86,2244.91,504.34,978.25
,3927,2354.25,1314.09,1973.86,2363.08,257.53,1875.42,1028.66,1045.33
,3928,2362.62,2059.12,491.05,1941.57,837.08,1167.55,2180.69,1253.01
,3929,319.4,1752.58,1158.16,1029.46,2336.29,1448.73,1739.67,2413.06
,3930,2095.88,2031.46,378.5,1573.59,1175.82,823.13,2608.85,1119.18
,3931,2625.47,1489.77,1048.52,2056.79,305.42,1153.47,1680.85,798.45
,3932,2683.19,1383.19,1664.54,2092.77,441.51,1458.96,1506.68,952.82
,3933,2473.61,1153.66,2296.77,2147.24,378.44,1910.76,967.23,1030.67
,3934,1970.42,1078.83,2386.9,2149.18,578.78,2367.75,514.28,1223.14
,3935,1504.23,762.32,2677.82,1340.45,1433.05,2061.49,273.79,1260.71
,3936,1016.03,846.25,2587.93,985.11,2490.87,2028.94,486.76,1794.0
,3937,438.31,1609.89,924.81,693.39,2496.13,818.34,2456.16,1828.63
,3938,2006.62,2061.83,353.8,1534.4,1219.94,819.32,2619.27,1168.22
,3939,2655.76,1825.88,538.85,2069.1,434.07,1172.17,2037.29,1041.82
,3940,553.92,619.41,2465.45,691.33,2703.28,2441.0,345.99,2394.27
,3941,2720.44,1544.22,1808.8,2271.4,335.03,1702.03,1396.62,1189.24
,3942,2044.93,1323.2,2633.4,2134.81,724.14,2327.87,568.68,1437.36
,3943,2621.26,1710.81,734.88,2244.73,395.89,911.74,1866.4,633.8
,3944,1152.98,2281.47,422.29,1116.26,1713.84,686.32,2655.72,1551.71
,3945,427.46,1796.86,947.61,775.8,2329.58,939.5,2283.99,2092.52
,3946,486.42,1091.44,1738.46,764.67,2546.24,1562.45,1035.39,2143.69
,3947,778.87,2348.57,594.95,1112.1,1912.46,878.27,2446.38,1969.59
,3948,1681.54,605.68,2675.54,1547.61,1138.61,2386.89,348.92,1118.11
,3949,2489.4,1745.13,481.92,1984.41,538.15,996.88,1954.73,888.11
,3950,2429.58,1100.71,2283.23,2116.43,487.79,1833.73,1053.77,959.05
,3951,954.88,2053.34,426.75,864.54,1790.51,547.74,2558.29,1533.41
,3952,361.86,1496.51,1377.97,797.26,2671.85,1286.46,1820.0,2264.16
,3953,500.07,918.67,2043.41,790.92,2621.24,1845.14,617.87,2109.8
,3954,1757.03,731.16,2695.9,1451.7,1256.48,2031.76,499.67,1102.86
,3955,2263.35,2402.26,303.66,2008.53,891.35,809.39,2431.31,1071.88
,3956,2740.16,914.57,2114.06,1907.52,347.97,1326.68,1283.4,584.1
,3957,330.22,2170.59,861.79,766.58,2504.03,983.31,2385.97,2527.02
,3958,2627.31,1043.41,2349.31,2129.12,311.76,1803.82,1000.48,863.32
,3959,1055.89,1005.84,2588.99,1180.85,2344.36,2081.54,426.16,1805.3
,3960,1963.98,828.92,2724.04,1775.18,752.16,2195.16,363.65,1092.4
,3961,2661.88,1453.95,1126.09,2048.23,272.31,1146.69,1652.04,764.33
,3962,2650.37,1795.94,640.82,2014.96,475.09,867.37,2090.97,755.66
,3963,793.19,2218.61,482.0,1225.99,2010.04,1013.98,2691.59,1893.02
,3964,1113.55,931.92,2571.05,1160.85,2154.61,2013.58,381.52,1660.4
,3965,376.67,1751.02,1015.8,869.86,2586.95,1034.99,2338.52,2049.63
,3966,426.35,1027.74,1869.34,767.38,2599.48,1823.23,728.99,2335.88
,3967,2667.64,1126.62,2086.19,2244.58,323.53,1572.29,1215.92,705.73
,3968,884.71,2041.83,547.89,1098.28,1918.5,893.04,2591.3,1705.4
,3969,2330.53,1248.78,2148.06,2150.53,429.03,1862.21,982.82,1079.17
,3970,307.76,1356.8,1829.24,1081.69,2668.98,1791.87,683.7,2284.1
,3971,2653.04,1050.4,2364.35,2370.36,434.87,1875.87,1105.5,750.2
,3972,469.89,1598.67,1171.94,1077.24,2660.14,1191.09,2449.51,1843.56
,3973,2691.74,2311.64,338.12,2343.91,505.96,542.51,2405.37,556.69
,3974,1502.35,711.68,2696.96,1301.54,1526.48,2086.81,318.05,1244.88
,3975,2677.67,2016.36,392.73,2048.48,639.48,742.55,2358.51,728.57
,3976,291.54,984.38,1786.03,675.32,2644.51,1616.64,841.3,2166.08
,3977,2268.73,663.22,2678.88,1894.52,402.67,1946.73,564.34,681.22
,3978,1819.96,2044.13,351.96,1338.83,1401.97,671.43,2738.89,1147.76
,3979,685.07,865.03,2416.89,868.41,2717.99,2107.81,410.89,2109.73
,3980,1452.24,762.58,2753.36,1388.33,1816.69,2425.29,406.3,1551.3
,3981,329.2,1283.85,1646.01,912.44,2708.79,1475.18,1241.21,2073.23
,3982,2275.03,1108.11,2353.0,1928.22,391.43,1802.79,790.21,1038.92
,3983,343.52,1470.71,1398.12,745.54,2734.83,1244.5,1811.69,2230.71
,3984,759.55,2200.9,285.63,1095.24,1815.73,802.42,2641.46,1719.65
,3985,305.59,1147.84,1917.17,827.88,2730.9,2000.29,772.21,2551.51
,3986,2699.41,1479.79,1118.74,2075.74,328.66,1077.4,1718.29,714.37
,3987,1189.98,2274.57,420.13,1263.88,1795.35,907.42,2775.67,1703.33
,3988,430.47,1145.9,1942.1,983.12,2682.9,1692.3,743.46,2002.1
,3989,2409.1,1958.76,682.89,1955.53,769.6,1034.2,2146.89,1060.97
,3990,580.51,1802.91,1091.32,989.31,2513.28,1181.94,2378.0,2114.77
,3991,1206.31,720.7,2649.33,1060.13,2060.54,1985.83,377.89,1490.42
,3992,2709.59,1209.43,1763.46,2046.19,355.35,1352.43,1408.44,727.3
,3993,457.27,1736.62,985.92,844.83,2562.58,968.78,2429.36,1962.21
,3994,2559.32,1655.69,823.37,2115.34,285.71,1141.0,1755.56,853.21
,3995,1237.19,1995.81,403.56,1292.12,1716.99,983.89,2710.76,1541.31
,3996,1178.54,627.62,2709.67,968.29,2300.36,2248.07,364.98,1658.26
,3997,1896.52,727.02,2620.04,1694.88,777.05,2144.45,457.46,989.51
,3998,2617.81,1572.64,1284.64,2114.05,583.43,1130.45,1767.44,818.78
,3999,1271.1,2228.55,311.97,1081.67,1663.45,560.69,2767.65,1389.87
,4000,1273.31,799.29,2412.44,1250.35,1727.88,2207.68,446.42,1553.45
,4001,356.67,1493.09,1391.38,955.02,2636.85,1342.38,1768.83,2153.64
,4002,2196.55,1029.43,2276.18,1851.1,518.51,1737.45,885.72,975.15
,4003,267.93,1360.48,1457.67,492.29,2733.03,1240.9,1564.1,2447.37
,4004,770.39,1266.97,2189.42,1235.39,2535.29,2183.64,577.72,2247.56
,4005,2309.29,752.74,2584.42,1995.76,481.0,1963.24,746.78,739.39
,4006,415.77,1065.67,1734.49,687.58,2608.33,1512.13,1053.79,2141.23
,5387,384.76,1766.63,1001.83,783.41,2276.82,985.97,2108.76,2154.26
,5388,2590.06,1247.32,1641.0,2261.17,471.73,1326.13,1494.92,676.76
,5389,651.29,1034.4,1899.1,804.78,2585.1,1777.9,1004.2,2253.7
,5390,1469.7,847.64,2597.91,1394.66,1615.61,2375.71,401.83,1432.74
,5391,2530.61,1191.09,1671.3,2147.56,534.56,1339.2,1472.4,698.99
,5392,2253.56,1208.79,2236.44,2187.59,328.14,1925.41,981.72,1110.59
,5393,1949.3,2396.4,462.03,1828.03,1171.46,807.13,2420.96,1097.51
,5394,1340.12,900.17,2602.26,1238.89,2052.91,2267.43,420.51,1574.24
,5395,2578.81,1717.78,1232.03,2493.25,580.34,1254.59,1756.53,763.87
,5396,776.8,2092.89,681.18,1022.15,1914.93,847.63,2458.69,1760.57
,5397,1086.88,2358.65,438.48,1151.55,1623.91,678.99,2442.34,1604.12
,5398,1176.72,850.89,2483.53,1128.28,2105.49,2352.5,386.57,1775.59
,5399,2587.55,1529.64,1155.8,2518.53,289.71,1178.34,1588.46,593.03
